method,frames,frames_b,sr,mpjpe_l
SONIC,0,0.0,0.000732421875,72.55974854227406
SONIC,49152000,0.049152,0.054931640625,55.305868994900464
SONIC,98304000,0.098304,0.0849609375,44.34835029945908
SONIC,147456000,0.147456,0.129150390625,49.74606790682848
SONIC,196608000,0.196608,0.23095703125,50.2743476987535
SONIC,245760000,0.24576,0.279541015625,48.43822529562118
SONIC,294912000,0.294912,0.31982421875,47.79907853076171
SONIC,344064000,0.344064,0.347412109375,47.16751180640771
SONIC,393216000,0.393216,0.38427734375,48.39632083296371
SONIC,442368000,0.442368,0.40673828125,48.357521896743194
SONIC,491520000,0.49152,0.43408203125,46.39207332098458
SONIC,540672000,0.540672,0.4580078125,46.33083899827852
SONIC,589824000,0.589824,0.478759765625,45.906364429458634
SONIC,638976000,0.638976,0.496826171875,44.55981896157479
SONIC,688128000,0.688128,0.519287109375,45.04376475694153
SONIC,737280000,0.73728,0.516845703125,45.121495453799916
SONIC,786432000,0.786432,0.529296875,44.229262667381015
SONIC,835584000,0.835584,0.540771484375,43.57090803372703
SONIC,884736000,0.884736,0.5654296875,42.69646489963429
SONIC,933888000,0.933888,0.56689453125,43.72755075667705
SONIC,983040000,0.98304,0.58935546875,43.87190687986209
SONIC,1032192000,1.032192,0.60302734375,42.946755152040694
SONIC,1081344000,1.081344,0.617919921875,42.47521471792146
SONIC,1130496000,1.130496,0.63525390625,42.361747515923916
SONIC,1179648000,1.179648,0.647705078125,42.56063295630929
SONIC,1228800000,1.2288,0.643798828125,42.712462299601654
SONIC,1277952000,1.277952,0.654296875,41.61812965058922
SONIC,1327104000,1.327104,0.672607421875,41.67031104052416
SONIC,1376256000,1.376256,0.686279296875,41.21199498830405
SONIC,1425408000,1.425408,0.69091796875,40.20450561187862
SONIC,1474560000,1.47456,0.695556640625,40.717595901188716
SONIC,1523712000,1.523712,0.690185546875,41.671442568942
SONIC,1572864000,1.572864,0.68115234375,41.21518894761039
SONIC,1622016000,1.622016,0.708251953125,40.06453390385115
SONIC,1671168000,1.671168,0.706298828125,39.90543322782401
SONIC,1720320000,1.72032,0.70947265625,40.363838277880625
SONIC,1769472000,1.769472,0.708251953125,40.82496951275912
SONIC,1818624000,1.818624,0.70947265625,39.321884012724574
SONIC,1867776000,1.867776,0.705322265625,39.937294257648205
SONIC,1916928000,1.916928,0.728515625,39.037624864891775
SONIC,1966080000,1.96608,0.729736328125,39.34650927241255
SONIC,2015232000,2.015232,0.735595703125,38.85048159530229
SONIC,2064384000,2.064384,0.732666015625,38.648216587185146
SONIC,2113536000,2.113536,0.73681640625,38.958201698279424
SONIC,2162688000,2.162688,0.734375,38.75708146040307
SONIC,2211840000,2.21184,0.73876953125,38.1658735218005
SONIC,2260992000,2.260992,0.7392578125,38.529789978295504
SONIC,2310144000,2.310144,0.744873046875,38.73240618939465
SONIC,2359296000,2.359296,0.752685546875,38.279700016149064
DiffSR latent,0,0.0,0.01025390625,148.92815159770464
DiffSR latent,49152000,0.049152,0.41552734375,44.81224554154196
DiffSR latent,98304000,0.098304,0.650634765625,38.54777245050716
DiffSR latent,147456000,0.147456,0.775390625,35.803273019327776
DiffSR latent,196608000,0.196608,0.8134765625,32.95640418924379
DiffSR latent,245760000,0.24576,0.841552734375,31.534019465310248
DiffSR latent,294912000,0.294912,0.850341796875,31.12384140342822
DiffSR latent,344064000,0.344064,0.856689453125,30.43228833861661
DiffSR latent,393216000,0.393216,0.87109375,29.306515689187954
DiffSR latent,442368000,0.442368,0.873779296875,29.138020487153845
DiffSR latent,491520000,0.49152,0.87109375,28.855107721413926
DiffSR latent,540672000,0.540672,0.883544921875,28.747604952852804
DiffSR latent,589824000,0.589824,0.878173828125,28.70162221146531
DiffSR latent,638976000,0.638976,0.876220703125,28.630456794701953
DiffSR latent,688128000,0.688128,0.8828125,27.850382027272644
DiffSR latent,737280000,0.73728,0.8828125,28.137954153548538
DiffSR latent,786432000,0.786432,0.88525390625,28.05812000772184
DiffSR latent,835584000,0.835584,0.89013671875,27.643365929144096
DiffSR latent,884736000,0.884736,0.89013671875,28.093192720656763
DiffSR latent,933888000,0.933888,0.887939453125,27.539747261626644
DiffSR latent,983040000,0.98304,0.897216796875,27.22020648676319
DiffSR latent,1032192000,1.032192,0.891845703125,26.785159924919274
DiffSR latent,1081344000,1.081344,0.89990234375,26.54520787639642
DiffSR latent,1130496000,1.130496,0.898193359375,26.201246286229996
DiffSR latent,1179648000,1.179648,0.891357421875,26.35002564195138
DiffSR latent,1228800000,1.2288,0.902587890625,25.997682777143968
DiffSR latent,1277952000,1.277952,0.90576171875,26.137414619561042
DiffSR latent,1327104000,1.327104,0.902587890625,26.23801404907147
DiffSR latent,1376256000,1.376256,0.90380859375,26.063440738758647
DiffSR latent,1425408000,1.425408,0.901611328125,26.29144041620619
DiffSR latent,1474560000,1.47456,0.902099609375,26.66154488176188
DiffSR latent,1523712000,1.523712,0.904052734375,26.685099867023077
DiffSR latent,1572864000,1.572864,0.904296875,26.388444231347002
DiffSR latent,1622016000,1.622016,0.90478515625,26.050580330738796
DiffSR latent,1671168000,1.671168,0.911865234375,26.15252947399445
DiffSR latent,1720320000,1.72032,0.90869140625,26.135073538243155
DiffSR latent,1769472000,1.769472,0.91357421875,26.170016626438585
DiffSR latent,1818624000,1.818624,0.912109375,25.84445438616906
DiffSR latent,1867776000,1.867776,0.915283203125,25.739422766844125
DiffSR latent,1916928000,1.916928,0.91162109375,25.57943810170492
DiffSR latent,1966080000,1.96608,0.91162109375,25.633026817205547
DiffSR latent,2015232000,2.015232,0.915283203125,26.0446927001176
DiffSR latent,2064384000,2.064384,0.908935546875,26.3748080138457
DiffSR latent,2113536000,2.113536,0.91796875,25.6875956159895
