2026-07-21 23:30:39,454 | INFO | rlopt.IPMD | iter=2103/33909 | frames=310099968/5000085504 | r_step=0.0586 | ep_len=316.0800 | r_ep=18.1591 | pi_loss=-0.0074 | fps=91836.2933
2026-07-21 23:32:28,948 | INFO | rlopt.IPMD | iter=2171/33909 | frames=320126976/5000085504 | r_step=0.0592 | ep_len=328.6900 | r_ep=19.3976 | pi_loss=-0.0068 | fps=91959.7138
2026-07-21 23:34:16,785 | INFO | rlopt.IPMD | iter=2238/33909 | frames=330006528/5000085504 | r_step=0.0596 | ep_len=338.3000 | r_ep=20.0274 | pi_loss=-0.0074 | fps=90893.2895
2026-07-21 23:36:06,023 | INFO | rlopt.IPMD | iter=2306/33909 | frames=340033536/5000085504 | r_step=0.0597 | ep_len=338.4800 | r_ep=20.0773 | pi_loss=-0.0067 | fps=92057.2697
2026-07-21 23:37:56,602 | INFO | rlopt.IPMD | iter=2374/33909 | frames=350060544/5000085504 | r_step=0.0599 | ep_len=326.3100 | r_ep=19.5791 | pi_loss=-0.0067 | fps=91389.1165
2026-07-21 23:39:46,290 | INFO | rlopt.IPMD | iter=2442/33909 | frames=360087552/5000085504 | r_step=0.0600 | ep_len=313.6700 | r_ep=18.8939 | pi_loss=-0.0068 | fps=91146.8957
2026-07-21 23:41:36,814 | INFO | rlopt.IPMD | iter=2510/33909 | frames=370114560/5000085504 | r_step=0.0603 | ep_len=342.5300 | r_ep=20.7501 | pi_loss=-0.0062 | fps=90233.7773
2026-07-21 23:43:26,637 | INFO | rlopt.IPMD | iter=2578/33909 | frames=380141568/5000085504 | r_step=0.0607 | ep_len=349.2000 | r_ep=21.4494 | pi_loss=-0.0063 | fps=91752.5770
2026-07-21 23:45:15,040 | INFO | rlopt.IPMD | iter=2645/33909 | frames=390021120/5000085504 | r_step=0.0606 | ep_len=330.7400 | r_ep=20.0177 | pi_loss=-0.0066 | fps=91772.9218
2026-07-21 23:47:04,503 | INFO | rlopt.IPMD | iter=2713/33909 | frames=400048128/5000085504 | r_step=0.0607 | ep_len=338.2500 | r_ep=20.5036 | pi_loss=-0.0058 | fps=91927.5865
2026-07-21 23:48:55,358 | INFO | rlopt.IPMD | iter=2781/33909 | frames=410075136/5000085504 | r_step=0.0610 | ep_len=310.6000 | r_ep=19.0497 | pi_loss=-0.0065 | fps=91814.7639
2026-07-21 23:50:44,961 | INFO | rlopt.IPMD | iter=2849/33909 | frames=420102144/5000085504 | r_step=0.0611 | ep_len=348.3100 | r_ep=21.3269 | pi_loss=-0.0064 | fps=91838.0991
2026-07-21 23:52:34,166 | INFO | rlopt.IPMD | iter=2917/33909 | frames=430129152/5000085504 | r_step=0.0610 | ep_len=352.5800 | r_ep=21.4388 | pi_loss=-0.0060 | fps=91736.6911
2026-07-21 23:54:21,977 | INFO | rlopt.IPMD | iter=2984/33909 | frames=440008704/5000085504 | r_step=0.0605 | ep_len=372.0400 | r_ep=22.4645 | pi_loss=-0.0067 | fps=92090.3207
2026-07-21 23:56:11,136 | INFO | rlopt.IPMD | iter=3052/33909 | frames=450035712/5000085504 | r_step=0.0606 | ep_len=374.9900 | r_ep=22.5909 | pi_loss=-0.0057 | fps=91484.7420
2026-07-21 23:58:00,341 | INFO | rlopt.IPMD | iter=3120/33909 | frames=460062720/5000085504 | r_step=0.0609 | ep_len=348.9100 | r_ep=20.9862 | pi_loss=-0.0066 | fps=92053.1064
2026-07-21 23:59:50,028 | INFO | rlopt.IPMD | iter=3188/33909 | frames=470089728/5000085504 | r_step=0.0613 | ep_len=356.6700 | r_ep=22.0327 | pi_loss=-0.0070 | fps=90968.0968
2026-07-22 00:01:42,287 | INFO | rlopt.IPMD | iter=3256/33909 | frames=480116736/5000085504 | r_step=0.0611 | ep_len=360.2400 | r_ep=22.0652 | pi_loss=-0.0070 | fps=91302.4681
2026-07-22 00:03:31,992 | INFO | rlopt.IPMD | iter=3324/33909 | frames=490143744/5000085504 | r_step=0.0611 | ep_len=351.0500 | r_ep=21.4650 | pi_loss=-0.0065 | fps=91610.6741
2026-07-22 00:05:20,388 | INFO | rlopt.IPMD | iter=3391/33909 | frames=500023296/5000085504 | r_step=0.0611 | ep_len=342.8000 | r_ep=21.0177 | pi_loss=-0.0073 | fps=90825.7844
2026-07-22 00:07:10,667 | INFO | rlopt.IPMD | iter=3459/33909 | frames=510050304/5000085504 | r_step=0.0611 | ep_len=340.9500 | r_ep=20.7581 | pi_loss=-0.0063 | fps=91342.2289
2026-07-22 00:09:00,099 | INFO | rlopt.IPMD | iter=3527/33909 | frames=520077312/5000085504 | r_step=0.0613 | ep_len=342.5700 | r_ep=20.6038 | pi_loss=-0.0064 | fps=91725.5147
2026-07-22 00:10:49,929 | INFO | rlopt.IPMD | iter=3595/33909 | frames=530104320/5000085504 | r_step=0.0612 | ep_len=359.2300 | r_ep=21.9071 | pi_loss=-0.0062 | fps=91887.5982
2026-07-22 00:12:41,799 | INFO | rlopt.IPMD | iter=3663/33909 | frames=540131328/5000085504 | r_step=0.0613 | ep_len=350.6500 | r_ep=21.6684 | pi_loss=-0.0072 | fps=91004.6154
