2026-07-22 20:37:28,646 | INFO | rlopt.IPMD | iter=1577/23071 | frames=310050816/4535943168 | r_step=0.0525 | ep_len=255.5900 | r_ep=13.2800 | pi_loss=-0.0071 | fps=95988.2101
2026-07-22 20:39:12,538 | INFO | rlopt.IPMD | iter=1628/23071 | frames=320077824/4535943168 | r_step=0.0521 | ep_len=267.9400 | r_ep=13.5709 | pi_loss=-0.0072 | fps=96492.5490
2026-07-22 20:40:56,006 | INFO | rlopt.IPMD | iter=1679/23071 | frames=330104832/4535943168 | r_step=0.0523 | ep_len=283.6300 | r_ep=14.9400 | pi_loss=-0.0074 | fps=97659.2870
2026-07-22 20:42:40,851 | INFO | rlopt.IPMD | iter=1730/23071 | frames=340131840/4535943168 | r_step=0.0521 | ep_len=264.8800 | r_ep=13.8564 | pi_loss=-0.0072 | fps=96647.6576
2026-07-22 20:44:24,791 | INFO | rlopt.IPMD | iter=1781/23071 | frames=350158848/4535943168 | r_step=0.0522 | ep_len=273.6200 | r_ep=14.1946 | pi_loss=-0.0073 | fps=95737.2084
2026-07-22 20:46:08,879 | INFO | rlopt.IPMD | iter=1832/23071 | frames=360185856/4535943168 | r_step=0.0527 | ep_len=262.6600 | r_ep=13.3460 | pi_loss=-0.0073 | fps=97548.0826
2026-07-22 20:47:51,167 | INFO | rlopt.IPMD | iter=1882/23071 | frames=370016256/4535943168 | r_step=0.0527 | ep_len=280.2100 | r_ep=14.7241 | pi_loss=-0.0075 | fps=96131.4427
2026-07-22 20:49:35,002 | INFO | rlopt.IPMD | iter=1933/23071 | frames=380043264/4535943168 | r_step=0.0528 | ep_len=300.6800 | r_ep=15.8617 | pi_loss=-0.0081 | fps=96371.9097
2026-07-22 20:51:19,101 | INFO | rlopt.IPMD | iter=1984/23071 | frames=390070272/4535943168 | r_step=0.0532 | ep_len=256.6800 | r_ep=13.5504 | pi_loss=-0.0071 | fps=96188.6668
2026-07-22 20:53:03,200 | INFO | rlopt.IPMD | iter=2035/23071 | frames=400097280/4535943168 | r_step=0.0530 | ep_len=226.6100 | r_ep=11.9878 | pi_loss=-0.0077 | fps=96997.3877
2026-07-22 20:54:47,493 | INFO | rlopt.IPMD | iter=2086/23071 | frames=410124288/4535943168 | r_step=0.0531 | ep_len=275.7100 | r_ep=14.7637 | pi_loss=-0.0077 | fps=96633.1788
2026-07-22 20:56:32,560 | INFO | rlopt.IPMD | iter=2137/23071 | frames=420151296/4535943168 | r_step=0.0534 | ep_len=254.9700 | r_ep=13.4786 | pi_loss=-0.0080 | fps=96855.5485
2026-07-22 20:58:16,498 | INFO | rlopt.IPMD | iter=2188/23071 | frames=430178304/4535943168 | r_step=0.0534 | ep_len=282.0000 | r_ep=15.0873 | pi_loss=-0.0078 | fps=96845.7566
2026-07-22 20:59:58,424 | INFO | rlopt.IPMD | iter=2238/23071 | frames=440008704/4535943168 | r_step=0.0535 | ep_len=278.6400 | r_ep=14.6691 | pi_loss=-0.0083 | fps=96405.3602
2026-07-22 21:01:43,045 | INFO | rlopt.IPMD | iter=2289/23071 | frames=450035712/4535943168 | r_step=0.0537 | ep_len=267.1900 | r_ep=14.3018 | pi_loss=-0.0071 | fps=95908.0157
2026-07-22 21:03:27,728 | INFO | rlopt.IPMD | iter=2340/23071 | frames=460062720/4535943168 | r_step=0.0536 | ep_len=305.5300 | r_ep=16.3720 | pi_loss=-0.0070 | fps=96295.5514
2026-07-22 21:05:12,218 | INFO | rlopt.IPMD | iter=2391/23071 | frames=470089728/4535943168 | r_step=0.0538 | ep_len=298.6100 | r_ep=15.8487 | pi_loss=-0.0078 | fps=96624.3962
2026-07-22 21:06:56,315 | INFO | rlopt.IPMD | iter=2442/23071 | frames=480116736/4535943168 | r_step=0.0540 | ep_len=280.1100 | r_ep=15.1759 | pi_loss=-0.0079 | fps=95896.8362
2026-07-22 21:08:42,361 | INFO | rlopt.IPMD | iter=2493/23071 | frames=490143744/4535943168 | r_step=0.0542 | ep_len=274.4000 | r_ep=14.8267 | pi_loss=-0.0074 | fps=95190.1658
2026-07-22 21:10:26,800 | INFO | rlopt.IPMD | iter=2544/23071 | frames=500170752/4535943168 | r_step=0.0543 | ep_len=255.4100 | r_ep=13.7862 | pi_loss=-0.0076 | fps=96775.5299
2026-07-22 21:12:08,285 | INFO | rlopt.IPMD | iter=2594/23071 | frames=510001152/4535943168 | r_step=0.0544 | ep_len=306.2300 | r_ep=16.7014 | pi_loss=-0.0078 | fps=96435.9119
2026-07-22 21:13:52,109 | INFO | rlopt.IPMD | iter=2645/23071 | frames=520028160/4535943168 | r_step=0.0544 | ep_len=334.2500 | r_ep=18.0736 | pi_loss=-0.0074 | fps=96115.6924
2026-07-22 21:15:36,546 | INFO | rlopt.IPMD | iter=2696/23071 | frames=530055168/4535943168 | r_step=0.0545 | ep_len=281.5300 | r_ep=15.0531 | pi_loss=-0.0077 | fps=97052.3276
2026-07-22 21:17:20,840 | INFO | rlopt.IPMD | iter=2747/23071 | frames=540082176/4535943168 | r_step=0.0547 | ep_len=317.0300 | r_ep=17.4116 | pi_loss=-0.0082 | fps=95981.7855
2026-07-22 21:19:04,951 | INFO | rlopt.IPMD | iter=2798/23071 | frames=550109184/4535943168 | r_step=0.0548 | ep_len=269.5200 | r_ep=14.8569 | pi_loss=-0.0077 | fps=97003.7026
2026-07-22 21:20:49,276 | INFO | rlopt.IPMD | iter=2849/23071 | frames=560136192/4535943168 | r_step=0.0550 | ep_len=268.7100 | r_ep=14.7790 | pi_loss=-0.0075 | fps=96411.9715
2026-07-22 21:22:34,949 | INFO | rlopt.IPMD | iter=2900/23071 | frames=570163200/4535943168 | r_step=0.0549 | ep_len=250.3800 | r_ep=13.2835 | pi_loss=-0.0075 | fps=96446.7363
2026-07-22 21:24:19,447 | INFO | rlopt.IPMD | iter=2951/23071 | frames=580190208/4535943168 | r_step=0.0548 | ep_len=326.3700 | r_ep=18.2087 | pi_loss=-0.0079 | fps=95108.4995
2026-07-22 21:26:02,046 | INFO | rlopt.IPMD | iter=3001/23071 | frames=590020608/4535943168 | r_step=0.0549 | ep_len=315.9300 | r_ep=17.4885 | pi_loss=-0.0079 | fps=96372.8833
2026-07-22 21:27:46,537 | INFO | rlopt.IPMD | iter=3052/23071 | frames=600047616/4535943168 | r_step=0.0551 | ep_len=289.0400 | r_ep=15.9211 | pi_loss=-0.0076 | fps=96368.6069
2026-07-22 21:29:31,724 | INFO | rlopt.IPMD | iter=3103/23071 | frames=610074624/4535943168 | r_step=0.0551 | ep_len=298.2600 | r_ep=16.2599 | pi_loss=-0.0075 | fps=95475.2604
2026-07-22 21:31:16,478 | INFO | rlopt.IPMD | iter=3154/23071 | frames=620101632/4535943168 | r_step=0.0553 | ep_len=312.7700 | r_ep=17.3235 | pi_loss=-0.0069 | fps=96150.5523
2026-07-22 21:33:02,250 | INFO | rlopt.IPMD | iter=3205/23071 | frames=630128640/4535943168 | r_step=0.0553 | ep_len=321.5200 | r_ep=18.0587 | pi_loss=-0.0067 | fps=95930.1954
2026-07-22 21:34:47,199 | INFO | rlopt.IPMD | iter=3256/23071 | frames=640155648/4535943168 | r_step=0.0555 | ep_len=298.4700 | r_ep=16.1894 | pi_loss=-0.0076 | fps=95683.7410
2026-07-22 21:36:31,659 | INFO | rlopt.IPMD | iter=3307/23071 | frames=650182656/4535943168 | r_step=0.0557 | ep_len=281.9500 | r_ep=15.1381 | pi_loss=-0.0071 | fps=96313.0544
2026-07-22 21:38:14,212 | INFO | rlopt.IPMD | iter=3357/23071 | frames=660013056/4535943168 | r_step=0.0556 | ep_len=317.4100 | r_ep=17.4644 | pi_loss=-0.0082 | fps=96397.8104
